date,home_team,away_team,home_odds,draw_odds,away_odds,home_win,away_win,draw,My Win %,My Draw %,My Loss %,Sum of percentages,Home Odds,Draw Odds,Loss Odds
5/8/21,Sheffield United,Crystal Palace,3,3.2,2.45,0,1,0,64.16%,13.32%,22.52%,100.00%,1.56,7.51,4.44
5/7/21,Leicester City,Newcastle United,1.4,4.75,8,0,1,0,85.23%,29.87%,44.64%,159.74%,1.87,5.35,3.58
5/3/21,Burnley,West Ham United,3.1,3.6,2.2,0,1,0,59.05%,32.54%,8.41%,100.00%,1.69,3.07,11.89
5/3/21,West Bromwich Albion,Wolverhampton Wanderers,2.9,3.2,2.5,0,0,1,59.22%,12.90%,27.87%,100.00%,1.69,7.75,3.59
5/2/21,Newcastle United,Arsenal,3.6,3.6,2,0,1,0,2.22E-02,79.57%,18.21%,100.00%,45.10,1.26,5.49
5/2/21,Tottenham Hotspur,Sheffield United,1.25,6,12,1,0,0,41.91%,42.64%,15.45%,100.00%,2.39,2.35,6.47
5/1/21,Brighton & Hove Albion,Leeds United,2.05,3.5,3.5,1,0,0,17.54%,45.39%,3.71E-01,100.00%,5.70,2.20,2.70
5/1/21,Chelsea,Fulham,1.44,4.4,7.5,1,0,0,99.97%,0.03%,2.82E-06,100.00%,1.00,3145.82,354890.58
5/1/21,Crystal Palace,Manchester City,10,5,1.33,0,1,0,0.06%,0.03%,99.97%,100.06%,1811.72,3634.84,1.00
5/1/21,Everton,Aston Villa,1.95,3.6,3.8,0,1,0,41.87%,34.61%,23.52%,100.00%,2.39,2.89,4.25
4/30/21,Southampton,Leicester City,3.8,3.8,1.9,0,0,1,0.05%,86.55%,13.40%,100.00%,2101.88,1.16,7.46
4/26/21,Leicester City,Crystal Palace,1.4,4.33,8.5,1,0,0,71.02%,0.55%,29.53%,101.10%,1.42,183.25,3.42
4/25/21,Aston Villa,West Bromwich Albion,1.85,3.6,4.2,0,0,1,28.89%,25.65%,45.46%,100.00%,3.46,3.90,2.20
4/25/21,Leeds United,Manchester United,4,4.2,1.75,0,0,1,40.33%,58.07%,1.60%,100.00%,2.48,1.72,62.65
4/25/21,Wolverhampton Wanderers,Burnley,2,3.4,3.9,0,1,0,47.65%,40.31%,12.04%,100.00%,2.10,2.48,8.30
4/24/21,Liverpool,Newcastle United,1.22,6.5,12,0,0,1,83.40%,13.95%,2.65%,100.00%,1.20,7.17,37.78
4/24/21,Sheffield United,Brighton & Hove Albion,5.25,3.4,1.75,1,0,0,11.96%,30.27%,57.77%,100.00%,8.36,3.30,1.73
4/24/21,West Ham United,Chelsea,4.75,3.6,1.75,0,1,0,5.59%,89.79%,4.62%,100.00%,17.88,1.11,21.66
4/23/21,Arsenal,Everton,2,3.5,3.75,0,1,0,59.22%,35.47%,5.31%,100.00%,1.69,2.82,18.82
4/22/21,Leicester City,West Bromwich Albion,1.53,3.8,6,1,0,0,52.13%,33.69%,14.18%,100.00%,1.92,2.97,7.05
4/21/21,Aston Villa,Manchester City,9,4.75,1.36,0,1,0,2.09E-05,0.15%,99.85%,100.00%,47810.54,687.86,1.00
4/21/21,Tottenham Hotspur,Southampton,1.75,3.8,4.5,1,0,0,50.07%,33.56%,1.64E-01,100.00%,2.00,2.98,6.11
4/20/21,Chelsea,Brighton & Hove Albion,1.57,4,6,0,0,1,98.22%,1.77%,1.35E-05,100.00%,1.02,56.36,74047.75
4/19/21,Leeds United,Liverpool,4.5,4.33,1.66,0,0,1,20.42%,70.72%,8.85%,100.00%,4.90,1.41,11.29
4/18/21,Arsenal,Fulham,1.7,3.8,4.8,0,0,1,74.60%,24.37%,1.03%,100.00%,1.34,4.10,96.88
4/18/21,Manchester United,Burnley,1.33,5.25,9,1,0,0,27.44%,64.85%,7.71E-02,100.00%,3.64,1.54,12.96
4/17/21,Newcastle United,West Ham United,3.5,3.5,2.05,1,0,0,9.08%,11.21%,7.97E-01,100.00%,11.01,8.92,1.25
4/17/21,Wolverhampton Wanderers,Sheffield United,1.66,3.5,5.75,1,0,0,19.69%,13.29%,6.70E-01,100.00%,5.08,7.52,1.49
4/16/21,Everton,Tottenham Hotspur,3.4,3.5,2.1,0,0,1,5.17%,60.53%,34.30%,100.00%,19.34,1.65,2.92
4/12/21,Brighton & Hove Albion,Everton,2.25,3.3,3.3,0,0,1,44.28%,19.33%,36.39%,100.00%,2.26,5.17,2.75
4/12/21,West Bromwich Albion,Southampton,3.6,3.3,2.1,1,0,0,15.12%,15.52%,69.36%,100.00%,6.61,6.44,1.44
4/11/21,Burnley,Newcastle United,2.3,3.1,3.4,0,1,0,31.01%,16.34%,52.65%,100.00%,3.23,6.12,1.90
4/11/21,Sheffield United,Arsenal,6.5,3.75,1.57,0,1,0,54.21%,40.54%,5.26%,100.00%,1.84,2.47,19.02
4/11/21,Tottenham Hotspur,Manchester United,2.87,3.4,2.45,0,1,0,54.16%,44.67%,1.17%,100.00%,1.85,2.24,85.48
4/11/21,West Ham United,Leicester City,3,3.3,2.37,1,0,0,39.58%,29.93%,30.49%,100.00%,2.53,3.34,3.28
4/10/21,Crystal Palace,Chelsea,7,3.8,1.53,0,1,0,7.50E-06,7.76%,92.24%,100.00%,133406.99,12.88,1.08
4/10/21,Liverpool,Aston Villa,1.5,4.33,6.5,1,0,0,51.46%,46.24%,2.30%,100.00%,1.94,2.16,43.47
4/10/21,Manchester City,Leeds United,1.28,5.75,10,0,1,0,96.63%,3.37%,3.72E-05,100.00%,1.03,29.67,26858.50
4/9/21,Fulham,Wolverhampton Wanderers,2.5,3,3.1,0,1,0,63.00%,7.44%,29.56%,100.00%,1.59,13.44,3.38
4/5/21,Everton,Crystal Palace,1.75,3.5,5,0,0,1,55.53%,14.08%,30.39%,100.00%,1.80,7.10,3.29
4/5/21,Wolverhampton Wanderers,West Ham United,2.87,3.2,2.55,0,1,0,74.44%,6.55%,32.11%,113.11%,1.52,17.26,3.52
4/4/21,Aston Villa,Fulham,2.25,3.3,3.3,1,0,0,38.94%,12.70%,48.36%,100.00%,2.57,7.87,2.07
4/4/21,Manchester United,Brighton & Hove Albion,1.61,4,5.5,1,0,0,96.06%,2.89%,1.05%,100.00%,1.04,34.61,95.48
4/4/21,Newcastle United,Tottenham Hotspur,5.5,4,1.6,0,0,1,3.47%,27.84%,68.69%,100.00%,28.85,3.59,1.46
4/4/21,Southampton,Burnley,2.05,3.3,3.8,1,0,0,29.60%,13.43%,56.97%,100.00%,3.38,7.45,1.76
4/3/21,Arsenal,Liverpool,3.1,3.7,2.15,0,1,0,48.83%,49.74%,1.43%,100.00%,2.05,2.01,69.90
4/3/21,Chelsea,West Bromwich Albion,1.22,6,15,0,1,0,97.40%,2.05%,0.55%,100.00%,1.03,48.83,180.78
4/3/21,Leeds United,Sheffield United,1.5,4.33,6.5,1,0,0,28.51%,37.57%,33.92%,100.00%,3.51,2.66,2.95
4/3/21,Leicester City,Manchester City,6,4.2,1.53,0,1,0,27.72%,65.42%,6.86%,100.00%,3.61,1.53,14.58
3/21/21,Aston Villa,Tottenham Hotspur,2.9,3.3,2.45,0,1,0,0.39%,29.67%,69.94%,100.00%,259.71,3.37,1.43
3/21/21,West Ham United,Arsenal,2.8,3.5,2.45,0,0,1,17.61%,71.88%,10.50%,100.00%,5.68,1.39,9.52
3/20/21,Brighton & Hove Albion,Newcastle United,1.66,3.5,6,1,0,0,31.00%,40.36%,28.64%,100.00%,3.23,2.48,3.49
3/19/21,Fulham,Leeds United,2.37,3.4,3,0,1,0,47.61%,43.63%,8.76%,100.00%,2.10,2.29,11.41
3/15/21,Wolverhampton Wanderers,Liverpool,4.75,3.75,1.72,0,1,0,0.20%,92.48%,7.32%,100.00%,493.07,1.08,13.66
3/14/21,Arsenal,Tottenham Hotspur,2.55,3.4,2.75,1,0,0,12.71%,46.03%,41.25%,100.00%,7.87,2.17,2.42
3/14/21,Leicester City,Sheffield United,1.5,4.2,6.5,1,0,0,99.60%,0.30%,1.08E-03,100.00%,1.00,337.54,923.31
3/14/21,Manchester United,West Ham United,1.83,3.6,4.33,1,0,0,32.37%,26.91%,40.72%,100.00%,3.09,3.72,2.46
3/14/21,Southampton,Brighton & Hove Albion,2.9,3.1,2.5,0,1,0,36.05%,34.43%,29.51%,100.00%,2.77,2.90,3.39
3/13/21,Crystal Palace,West Bromwich Albion,2.15,3.2,3.6,1,0,0,43.82%,2.52%,53.66%,100.00%,2.28,39.67,1.86
3/13/21,Everton,Burnley,1.83,3.5,4.5,0,1,0,45.33%,42.08%,12.59%,100.00%,2.21,2.38,7.94
3/13/21,Fulham,Manchester City,10,5,1.33,0,1,0,4.41%,3.72%,99.31%,107.44%,24.36,28.88,1.08
3/13/21,Leeds United,Chelsea,4.75,4,1.7,0,0,1,17.44%,77.16%,5.40%,100.00%,5.73,1.30,18.52
3/12/21,Newcastle United,Aston Villa,3.8,3.3,2.05,0,0,1,23.48%,76.06%,0.46%,100.00%,4.26,1.31,218.91
3/10/21,Manchester City,Southampton,1.18,7.5,15,1,0,0,99.72%,0.28%,1.62E-05,100.00%,1.00,363.23,61889.44
3/8/21,Chelsea,Everton,1.53,4,6.5,1,0,0,65.04%,34.76%,0.20%,100.00%,1.54,2.88,510.94
3/8/21,West Ham United,Leeds United,2.05,3.6,3.5,1,0,0,66.28%,7.21%,26.51%,100.00%,1.51,13.88,3.77
3/7/21,Liverpool,Fulham,1.36,5,8.5,0,1,0,49.63%,49.99%,0.38%,100.00%,2.01,2.00,265.13
3/7/21,Manchester City,Manchester United,1.45,4.5,7,0,1,0,99.89%,0.11%,4.30E-07,100.00%,1.00,925.65,2327071.97
3/7/21,Tottenham Hotspur,Crystal Palace,1.45,4.5,7,1,0,0,97.23%,2.55%,0.22%,100.00%,1.03,39.19,460.62
3/7/21,West Bromwich Albion,Newcastle United,2.37,3.2,3.1,0,0,1,38.97%,12.71%,48.32%,100.00%,2.57,7.87,2.07
3/6/21,Aston Villa,Wolverhampton Wanderers,2.37,3.25,3.1,0,0,1,32.34%,3.19%,64.47%,100.00%,3.09,31.36,1.55
3/6/21,Brighton & Hove Albion,Leicester City,2.55,3.25,2.8,0,1,0,10.98%,25.50%,63.52%,100.00%,9.11,3.92,1.57
3/6/21,Burnley,Arsenal,5.5,4,1.61,0,0,1,21.76%,34.76%,43.48%,100.00%,4.60,2.88,2.30
3/6/21,Sheffield United,Southampton,3.6,3.5,2,0,1,0,38.04%,9.49%,52.47%,100.00%,2.63,10.54,1.91
3/4/21,Fulham,Tottenham Hotspur,4,3.6,1.9,0,1,0,6.70%,90.53%,2.77%,100.00%,14.93,1.10,36.13
3/4/21,Liverpool,Chelsea,2.25,3.6,3,0,1,0,91.62%,8.06%,0.31%,100.00%,1.09,12.40,320.23
3/4/21,West Bromwich Albion,Everton,4.33,3.6,1.83,0,1,0,76.38%,12.36%,11.26%,100.00%,1.31,8.09,8.88
3/3/21,Burnley,Leicester City,4,3.25,2,0,0,1,8.26%,17.00%,74.74%,100.00%,12.11,5.88,1.34
3/3/21,Crystal Palace,Manchester United,8,4.75,1.4,0,0,1,11.49%,84.53%,3.99%,100.00%,8.71,1.18,25.08
3/3/21,Sheffield United,Aston Villa,3.75,3.4,2.05,1,0,0,42.36%,4.62%,53.01%,100.00%,2.36,21.63,1.89
3/2/21,Manchester City,Wolverhampton Wanderers,1.18,7,15,1,0,0,98.11%,1.74%,0.15%,100.00%,1.02,57.51,659.06
3/1/21,Everton,Southampton,2.15,3.5,3.3,1,0,0,34.50%,0.98%,66.48%,101.97%,2.96,103.67,1.53
2/28/21,Chelsea,Manchester United,2.15,3.4,3.4,0,0,1,53.34%,46.65%,0.02%,100.00%,1.87,2.14,6554.30
2/28/21,Crystal Palace,Fulham,3.5,3.2,2.2,0,0,1,37.88%,61.71%,0.41%,100.00%,2.64,1.62,243.52
2/28/21,Leicester City,Arsenal,2.5,3.4,2.8,0,1,0,76.09%,22.50%,1.41%,100.00%,1.31,4.44,70.81
2/28/21,Sheffield United,Liverpool,8,5,1.36,0,1,0,0.09%,29.95%,69.96%,100.00%,1149.39,3.34,1.43
2/28/21,Tottenham Hotspur,Burnley,1.53,4,6.5,1,0,0,87.06%,10.76%,2.18%,100.00%,1.15,9.29,45.77
2/27/21,Leeds United,Aston Villa,2.15,3.6,3.2,0,1,0,16.16%,25.55%,58.29%,100.00%,6.19,3.91,1.72
2/27/21,Manchester City,West Ham United,1.22,6.5,12,1,0,0,99.95%,0.02%,0.03%,100.00%,1.00,5196.33,3275.93
2/27/21,Newcastle United,Wolverhampton Wanderers,3.5,3.2,2.2,0,0,1,29.18%,2.25%,73.07%,104.51%,3.58,46.36,1.43
2/27/21,West Bromwich Albion,Brighton & Hove Albion,4.2,3.3,1.95,1,0,0,29.58%,19.64%,50.78%,100.00%,3.38,5.09,1.97
2/23/21,Leeds United,Southampton,2.25,3.5,3.1,1,0,0,44.61%,23.65%,31.74%,100.00%,2.24,4.23,3.15
2/22/21,Brighton & Hove Albion,Crystal Palace,1.7,3.5,5.5,0,1,0,32.98%,25.40%,41.62%,100.00%,3.03,3.94,2.40
2/21/21,Arsenal,Manchester City,6.5,4.33,1.5,0,1,0,0.01%,1.22%,98.77%,100.00%,17854.46,81.93,1.01
2/21/21,Aston Villa,Leicester City,2.87,3.5,2.4,0,1,0,21.15%,12.23%,91.08%,124.47%,5.89,10.17,1.37
2/21/21,Manchester United,Newcastle United,1.28,5.5,10,1,0,0,64.16%,23.01%,12.84%,100.00%,1.56,4.35,7.79
2/21/21,West Ham United,Tottenham Hotspur,2.62,3.4,2.7,1,0,0,12.81%,41.94%,45.24%,100.00%,7.81,2.38,2.21
2/20/21,Burnley,West Bromwich Albion,2,3.3,4,0,0,1,53.51%,43.74%,2.75%,100.00%,1.87,2.29,36.35
2/20/21,Fulham,Sheffield United,2.15,3.2,3.6,1,0,0,93.31%,5.15%,1.54%,100.00%,1.07,19.41,65.10
2/20/21,Liverpool,Everton,1.44,4.5,7,0,1,0,77.72%,20.29%,1.99%,100.00%,1.29,4.93,50.22
2/20/21,Southampton,Chelsea,5,3.8,1.7,0,0,1,0.06%,1.45%,98.49%,100.00%,1545.52,69.19,1.02
2/19/21,Wolverhampton Wanderers,Leeds United,2.37,3.3,3,1,0,0,65.31%,12.54%,22.15%,100.00%,1.53,7.97,4.51
2/17/21,Burnley,Fulham,2.75,3.2,2.7,0,0,1,43.21%,11.82%,44.97%,100.00%,2.31,8.46,2.22
2/17/21,Everton,Manchester City,8.5,5.5,1.33,0,1,0,0.26%,1.60%,98.14%,100.00%,389.24,62.47,1.02
2/15/21,Chelsea,Newcastle United,1.22,6.5,12,1,0,0,98.32%,1.53%,0.15%,100.00%,1.02,65.44,658.70
2/15/21,West Ham United,Sheffield United,1.66,3.75,5.25,1,0,0,55.25%,18.16%,62.92%,136.33%,2.47,7.51,2.17
2/14/21,Arsenal,Leeds United,1.83,3.8,4,1,0,0,43.81%,52.81%,3.39%,100.00%,2.28,1.89,29.52
2/14/21,Everton,Fulham,1.85,3.6,4.2,0,1,0,42.83%,44.58%,12.58%,100.00%,2.33,2.24,7.95
2/14/21,Southampton,Wolverhampton Wanderers,2.37,3.2,3.1,0,1,0,58.66%,2.19%,43.53%,104.38%,1.78,47.69,2.40
2/14/21,West Bromwich Albion,Manchester United,10,5.5,1.3,0,0,1,47.63%,50.18%,2.19%,100.00%,2.10,1.99,45.69
2/13/21,Brighton & Hove Albion,Aston Villa,2.7,3.5,2.5,0,0,1,47.12%,18.18%,34.70%,100.00%,2.12,5.50,2.88
2/13/21,Crystal Palace,Burnley,2.37,3.1,3.2,0,1,0,62.22%,18.78%,19.00%,100.00%,1.61,5.32,5.26
2/13/21,Leicester City,Liverpool,3.5,3.4,2.1,1,0,0,12.79%,33.82%,53.39%,100.00%,7.82,2.96,1.87
2/13/21,Manchester City,Tottenham Hotspur,1.28,5.75,9.5,1,0,0,99.19%,0.81%,7.39E-08,100.00%,1.01,123.72,13531468.31
2/8/21,Leeds United,Crystal Palace,1.8,3.8,4.2,1,0,0,37.60%,19.56%,81.96%,139.11%,3.70,7.11,1.70
2/7/21,Liverpool,Manchester City,3.4,3.6,2.05,0,1,0,57.51%,49.70%,92.19%,199.40%,3.47,4.01,2.16
2/7/21,Sheffield United,Chelsea,7,4.5,1.45,0,1,0,50.60%,40.65%,8.76%,100.00%,1.98,2.46,11.42
2/7/21,Tottenham Hotspur,West Bromwich Albion,1.45,4.5,7,1,0,0,37.71%,14.44%,47.85%,100.00%,2.65,6.92,2.09
2/7/21,Wolverhampton Wanderers,Leicester City,3.5,3.4,2.1,0,0,1,15.99%,35.44%,48.58%,100.00%,6.26,2.82,2.06
2/6/21,Aston Villa,Arsenal,2.62,3.5,2.6,1,0,0,49.94%,45.80%,4.26%,100.00%,2.00,2.18,23.45
2/6/21,Burnley,Brighton & Hove Albion,3.6,3.1,2.2,0,0,1,26.18%,7.03%,66.79%,100.00%,3.82,14.23,1.50
2/6/21,Fulham,West Ham United,3.6,3.5,2.05,0,0,1,13.50%,12.60%,73.90%,100.00%,7.41,7.94,1.35
2/6/21,Manchester United,Everton,1.53,4.2,6,0,0,1,43.30%,52.18%,4.52%,100.00%,2.31,1.92,22.13
2/6/21,Newcastle United,Southampton,3,3.3,2.4,1,0,0,19.11%,10.70%,70.19%,100.00%,5.23,9.35,1.42
2/4/21,Tottenham Hotspur,Chelsea,3.5,3.4,2.1,0,1,0,25.63%,69.81%,4.56%,100.00%,3.90,1.43,21.93
2/3/21,Aston Villa,West Ham United,2.2,3.4,3.25,0,1,0,36.95%,6.05%,69.10%,112.10%,3.03,18.53,1.62
2/3/21,Burnley,Manchester City,13,7,1.2,0,1,0,0.00%,0.03%,99.96%,100.00%,28119.59,2953.88,1.00
2/3/21,Fulham,Leicester City,4,3.5,1.9,0,1,0,26.94%,12.90%,60.16%,100.00%,3.71,7.75,1.66
2/3/21,Leeds United,Everton,2.5,3.5,2.7,0,1,0,66.98%,16.31%,16.71%,100.00%,1.49,6.13,5.99
2/3/21,Liverpool,Brighton & Hove Albion,1.33,5.25,9,0,1,0,61.03%,38.65%,0.32%,100.00%,1.64,2.59,309.79
2/2/21,Manchester United,Southampton,1.4,4.75,7,1,0,0,33.30%,64.90%,1.80%,100.00%,3.00,1.54,55.50
2/2/21,Newcastle United,Crystal Palace,2.8,3.2,2.6,0,1,0,25.10%,2.21%,72.69%,100.00%,3.98,45.16,1.38
2/2/21,Sheffield United,West Bromwich Albion,2,3.3,4,1,0,0,33.68%,6.17%,60.15%,100.00%,2.97,16.20,1.66
2/2/21,Wolverhampton Wanderers,Arsenal,3.6,3.3,2.1,1,0,0,4.14%,87.42%,8.44%,100.00%,24.13,1.14,11.86
1/31/21,Brighton & Hove Albion,Tottenham Hotspur,3.2,3.4,2.25,1,0,0,21.17%,64.61%,14.22%,100.00%,4.72,1.55,7.03
1/31/21,Chelsea,Burnley,1.33,5,9.5,1,0,0,87.92%,10.07%,2.01%,100.00%,1.14,9.93,49.82
1/31/21,Leicester City,Leeds United,1.8,4,4.2,0,1,0,21.86%,72.86%,5.28%,100.00%,4.58,1.37,18.94
1/31/21,West Ham United,Liverpool,4.33,4,1.75,0,1,0,0.12%,22.61%,77.28%,100.00%,848.91,4.42,1.29
1/30/21,Arsenal,Manchester United,2.8,3.5,2.45,0,0,1,66.42%,33.53%,0.05%,100.00%,1.51,2.98,2029.78
1/30/21,Crystal Palace,Wolverhampton Wanderers,2.87,3.2,2.55,1,0,0,47.57%,13.42%,65.85%,126.84%,2.67,9.45,1.93
1/30/21,Everton,Newcastle United,1.55,4,6.5,0,1,0,36.92%,14.04%,49.04%,100.00%,2.71,7.12,2.04
1/30/21,Manchester City,Sheffield United,1.12,9,18,1,0,0,100.00%,0.00%,5.16E-06,100.00%,1.00,25355.72,193754.89
1/30/21,Southampton,Aston Villa,2.8,3.6,2.37,0,1,0,59.30%,11.41%,29.30%,100.00%,1.69,8.77,3.41
1/30/21,West Bromwich Albion,Fulham,3.3,3.2,2.3,0,0,1,40.65%,36.58%,22.76%,100.00%,2.46,2.73,4.39
1/28/21,Tottenham Hotspur,Liverpool,3.2,3.6,2.2,0,1,0,10.80%,51.87%,37.33%,100.00%,9.26,1.93,2.68
1/27/21,Brighton & Hove Albion,Fulham,2.05,3.4,3.75,0,0,1,21.18%,41.97%,36.85%,100.00%,4.72,2.38,2.71
1/27/21,Burnley,Aston Villa,3.8,3.5,1.95,1,0,0,23.83%,38.19%,37.98%,100.00%,4.20,2.62,2.63
1/27/21,Chelsea,Wolverhampton Wanderers,1.6,4.2,5.25,0,0,1,88.77%,2.90%,8.33%,100.00%,1.13,34.51,12.00
1/27/21,Everton,Leicester City,2.8,3.3,2.55,0,0,1,61.55%,16.32%,22.13%,100.00%,1.62,6.13,4.52
1/27/21,Manchester United,Sheffield United,1.25,6,11,0,1,0,98.18%,1.82%,9.45E-06,100.00%,1.02,55.08,105867.07
1/26/21,Crystal Palace,West Ham United,3.1,3.25,2.37,0,1,0,37.44%,5.19%,67.74%,110.37%,2.95,21.28,1.63
1/26/21,Newcastle United,Leeds United,3.9,3.8,1.85,0,1,0,4.16%,57.58%,38.26%,100.00%,24.06,1.74,2.61
1/26/21,Southampton,Arsenal,3.5,3.6,2.05,0,1,0,18.33%,60.36%,21.30%,100.00%,5.45,1.66,4.69
1/26/21,West Bromwich Albion,Manchester City,15,7.5,1.18,0,1,0,0.00%,0.28%,99.72%,100.00%,32240.97,357.14,1.00
1/23/21,Aston Villa,Newcastle United,1.45,4.75,6.5,1,0,0,59.36%,8.49%,32.14%,100.00%,1.68,11.77,3.11
1/21/21,Liverpool,Burnley,1.18,7.5,15,0,1,0,87.50%,12.11%,0.39%,100.00%,1.14,8.26,256.25
1/20/21,Fulham,Manchester United,6,4.33,1.53,0,1,0,10.29%,34.25%,55.47%,100.00%,9.72,2.92,1.80
1/20/21,Manchester City,Aston Villa,1.22,6.5,12,1,0,0,99.62%,0.37%,2.62E-05,100.00%,1.00,268.37,38187.11
