date,home_team,away_team,home_odds,draw_odds,away_odds,home_win,away_win,draw,My Win %,My Draw %,My Loss %,Sum of percentages,Home Odds,Draw Odds,Loss Odds
5/23/21,Arsenal,Brighton & Hove Albion,1.57,4.33,5.25,1,0,0,35.05%,51.82%,13.13%,100.00%,2.85,1.93,7.62
5/23/21,Aston Villa,Chelsea,6.5,4.6,1.45,1,0,0,8.03%,10.50%,81.48%,100.00%,12.46,9.53,1.23
5/23/21,Fulham,Newcastle United,2.05,3.8,3.3,0,1,0,19.26%,3.73%,77.01%,100.00%,5.19,26.80,1.30
5/23/21,Leeds United,West Bromwich Albion,1.4,5.25,6.5,1,0,0,43.32%,27.29%,29.38%,100.00%,2.31,3.66,3.40
5/23/21,Leicester City,Tottenham Hotspur,2,4,3.3,0,1,0,2.70%,85.19%,12.11%,100.00%,36.99,1.17,8.26
5/23/21,Liverpool,Crystal Palace,1.14,8.5,15,1,0,0,99.46%,0.44%,1.04E-03,100.00%,1.01,228.27,961.79
5/23/21,Manchester City,Everton,1.44,5,6.5,1,0,0,83.68%,16.27%,4.91E-04,100.00%,1.20,6.14,2038.12
5/23/21,Sheffield United,Burnley,2.8,3.6,2.4,1,0,0,66.39%,30.40%,3.22%,100.00%,1.51,3.29,31.09
5/23/21,West Ham United,Southampton,1.65,4,5,1,0,0,63.39%,22.08%,14.53%,100.00%,1.58,4.53,6.88
5/23/21,Wolverhampton Wanderers,Manchester United,2.5,3.5,2.7,0,1,0,25.27%,72.26%,2.47%,100.00%,3.96,1.38,40.55
5/19/21,Burnley,Liverpool,11,7,1.22,0,1,0,0.14%,0.24%,99.62%,100.00%,696.61,417.56,1.00
5/19/21,Crystal Palace,Arsenal,6,4.5,1.5,0,1,0,1.92%,33.50%,64.58%,100.00%,52.09,2.99,1.55
5/19/21,Everton,Wolverhampton Wanderers,1.85,3.6,4.2,1,0,0,42.71%,12.63%,69.93%,125.27%,2.93,9.92,1.79
5/19/21,Newcastle United,Sheffield United,1.72,3.8,4.75,1,0,0,57.44%,20.26%,22.30%,100.00%,1.74,4.94,4.48
5/19/21,Tottenham Hotspur,Aston Villa,1.5,4.5,6,0,1,0,51.17%,45.18%,3.65%,100.00%,1.95,2.21,27.43
5/19/21,West Bromwich Albion,West Ham United,5,4.33,1.6,0,1,0,40.58%,43.58%,15.85%,100.00%,2.46,2.29,6.31
5/18/21,Brighton & Hove Albion,Manchester City,7,4.5,1.45,1,0,0,4.95E-04,0.02%,99.93%,100.00%,2019.54,6355.72,1.00
5/18/21,Chelsea,Leicester City,1.7,3.75,5,1,0,0,37.48%,58.01%,4.51%,100.00%,2.67,1.72,22.18
5/18/21,Manchester United,Fulham,1.28,6,9,0,0,1,68.20%,31.72%,0.08%,100.00%,1.47,3.15,1274.23
5/18/21,Southampton,Leeds United,2.55,3.9,2.5,0,1,0,20.19%,56.73%,23.07%,100.00%,4.95,1.76,4.33
5/16/21,Crystal Palace,Aston Villa,3,3.6,2.25,1,0,0,86.38%,8.88%,4.74%,100.00%,1.16,11.26,21.11
5/16/21,Everton,Sheffield United,1.36,4.75,8.5,0,1,0,13.01%,18.69%,68.30%,100.00%,7.68,5.35,1.46
5/16/21,Tottenham Hotspur,Wolverhampton Wanderers,1.5,4.33,6.5,1,0,0,32.59%,29.79%,97.19%,159.57%,4.90,5.36,1.64
5/16/21,West Bromwich Albion,Liverpool,12,6.5,1.22,0,1,0,2.40%,23.97%,73.63%,100.00%,41.60,4.17,1.36
5/15/21,Brighton & Hove Albion,West Ham United,2.9,3.6,2.3,0,0,1,53.15%,24.46%,22.39%,100.00%,1.88,4.09,4.47
5/15/21,Burnley,Leeds United,3.2,3.75,2.1,0,1,0,30.28%,16.22%,53.50%,100.00%,3.30,6.16,1.87
5/15/21,Southampton,Fulham,2,3.6,3.6,1,0,0,40.65%,54.26%,5.09%,100.00%,2.46,1.84,19.64
5/14/21,Newcastle United,Manchester City,11,6,1.25,0,1,0,1.90E-02,93.04%,5.06%,100.00%,52.51,1.07,19.77
5/13/21,Aston Villa,Everton,2.7,3.4,2.6,0,0,1,59.24%,39.77%,0.98%,100.00%,1.69,2.51,101.62
5/13/21,Manchester United,Liverpool,3,3.75,2.2,0,1,0,36.73%,62.81%,0.47%,100.00%,2.72,1.59,214.53
5/12/21,Chelsea,Arsenal,1.65,4,5,0,1,0,97.94%,2.06%,7.94E-06,100.00%,1.02,48.55,126001.17
5/11/21,Manchester United,Leicester City,2.5,3.4,2.8,0,1,0,68.18%,31.76%,6.15E-04,100.00%,1.47,3.15,1625.83
5/11/21,Southampton,Crystal Palace,2.05,3.6,3.5,1,0,0,44.59%,7.62%,63.03%,115.24%,2.58,15.13,1.83
5/10/21,Fulham,Burnley,2.2,3.4,3.3,0,1,0,38.59%,48.40%,13.02%,100.00%,2.59,2.07,7.68
5/9/21,Arsenal,West Bromwich Albion,1.44,4.5,7,1,0,0,39.47%,50.64%,9.89E-02,100.00%,2.53,1.97,10.11
5/9/21,Aston Villa,Manchester United,4.2,3.8,1.8,0,1,0,10.82%,66.37%,22.81%,100.00%,9.24,1.51,4.38
5/9/21,West Ham United,Everton,2.2,3.5,3.2,0,1,0,30.90%,6.28%,62.82%,100.00%,3.24,15.93,1.59
5/9/21,Wolverhampton Wanderers,Brighton & Hove Albion,3.3,3.3,2.2,1,0,0,31.06%,9.48%,78.42%,118.96%,3.83,12.55,1.52
5/8/21,Leeds United,Tottenham Hotspur,3.4,3.8,2,1,0,0,18.64%,67.98%,13.37%,100.00%,5.36,1.47,7.48
5/8/21,Liverpool,Southampton,1.25,6,11,1,0,0,34.18%,38.95%,26.87%,100.00%,2.93,2.57,3.72
5/8/21,Manchester City,Chelsea,1.9,3.4,4.2,0,1,0,29.23%,70.73%,0.04%,100.00%,3.42,1.41,2404.78
